代碼,公司,年,現金股利率,流動資產,流動負債,資產總額,固定資產,無形資產,其他資產,本期產生現金流量,財務槓桿度,營業費用─研究發展,市值(百萬元),負債總額
code,name,year,dividend,ca,cl,asset,fasset,iasset,oasset,cf,leverage,rnd,mv,lia
3006,晶豪科,2007,3.55,5580554,1616228,7842084,230254,99779,177573,511708,1.01,312753,14096,1642823
3006,晶豪科,2006,5.27,5008198,1285774,7191746,255185,1066,55715,-1464647,1.03,289520,7518,1311592
3008,大立光,2010,1.86,4305326,2687892,19265470,5275180,15374,83980,444899,1,762642,97251,2879473
3008,大立光,2009,2.38,3605822,1910639,15699170,4896691,8662,72402,-270635,1,500431,56472,1992970
3008,大立光,2008,4.91,2857494,1701631,13751957,4378545,10611,81595,-344705,1,449074,26482,1821187
3008,大立光,2007,2.28,3083948,1221545,11430336,3343731,9299,61036,890482,1,195275,54058,1309696
3008,大立光,2006,1.81,2710496,1181562,10456410,3040601,10450,65641,193129,1,196879,76436,1302035
3010,華立,2010,6,8236312,5368807,14338206,669305,87323,307464,-328492,1.05,0,13490,6923508
3010,華立,2009,5.11,6860085,4264970,12544998,651188,11038,347629,64817,1.14,0,10407,5658942
3010,華立,2008,7.35,6219519,4672018,11410659,694011,12878,350479,410007,1.14,0,4786,5135929
3010,華立,2007,5.57,7675709,5671419,12463010,717550,14711,244277,-537974,1.06,0,13617,6095335
3010,華立,2006,5.71,5921172,3831832,10045457,466626,8303,190133,164359,1.06,0,13942,3992462
3011,今皓,2010,0,424060,200780,1817665,195687,0,13287,-24821,1,35767,1194,297635
3011,今皓,2009,0,401365,143854,1826682,206063,0,8755,-42026,1,42714,1634,241895
3011,今皓,2008,0,483857,123183,1899133,206125,0,2862,31644,1,48259,416,248136
3011,今皓,2007,0,647999,214809,2042401,201987,0,1763,-157863,1,53453,1167,360366
3011,今皓,2006,1.25,730618,310631,2058072,206502,0,2223,-88393,1,53952,1824,449675
3013,晟銘電,2010,2.27,1390523,399398,3278804,535977,0,261117,-146272,1.08,66889,6620,954626
3013,晟銘電,2009,2.73,1513512,517991,3286682,450640,0,344390,-173579,-0.35,57649,2068,1089144
3013,晟銘電,2008,3.67,1950862,986252,3697437,460724,0,274595,-132310,1.17,56625,1729,1377801
3013,晟銘電,2007,2.6,1754409,679784,3676078,473257,7711,290725,248466,1.17,37567,1976,1531886
3013,晟銘電,2006,2.21,1746314,737749,3787017,483833,0,298682,-121299,1.16,37722,2116,1868659
3014,聯陽,2010,2.42,3782585,688297,7033920,108495,2888079,2898637,-84946,1,719524,12537,784626
3014,聯陽,2009,2.77,3752763,745482,7072048,114097,2971585,2978756,389668,1,660058,14621,800686
3014,聯陽,2008,2.45,3226764,689940,6663137,120034,3057186,3105868,235789,1,277502,8229,723430
3014,聯陽,2007,3.12,1973751,478466,2380192,81373,41689,87649,600860,1,250936,10996,506992
3014,聯陽,2006,5.45,1472408,346965,1938537,77561,36432,131211,112436,1,273558,4111,373394
3015,全漢,2010,6.67,7507381,5291183,10656018,370479,131952,198258,-138233,1,315187,8793,5323460
3015,全漢,2009,6.24,7526411,5407408,10574430,362149,137013,149792,334859,1,279363,9142,5441474
3015,全漢,2008,13.33,6450708,4599288,9380141,367233,142914,167111,-165580,1.01,268862,3190,4635813
3015,全漢,2007,5.26,7522370,5622369,10207569,370242,126609,154550,720346,1.01,245609,7486,5662665
3015,全漢,2006,4.11,5932502,4890165,7892859,343623,14176,30824,-329454,1.04,217915,6429,4921602
3016,嘉晶,2010,0.93,612921,138151,1268602,457341,0,144341,6751,1.05,24281,2937,146988
3016,嘉晶,2009,0,463532,233111,1283288,534919,0,231854,-8218,0.96,28335,3447,241731
3016,嘉晶,2008,0,414186,82469,1169103,598389,0,102802,-108423,0.92,22812,1107,252987
3016,嘉晶,2007,1.45,637524,277186,1442440,689015,0,108732,25942,1.15,31099,3041,489215
3016,嘉晶,2006,2.38,623086,309989,1368275,645143,0,94861,80627,1.02,26362,2780,416731
3017,奇鋐,2010,4.02,5286449,2822048,10477828,249410,12637,180216,559443,2.44,412176,9429,4817389
3017,奇鋐,2009,5.01,4779408,2946868,9266869,269827,19011,189063,-282150,1.32,413136,10864,3749090
3017,奇鋐,2008,1.44,5206718,2110621,8919715,333567,24818,161069,81642,1.27,355932,3484,4021143
3017,奇鋐,2007,3.94,7049591,3689779,10144891,409708,22133,98380,-374823,1.18,372579,5758,5584247
3017,奇鋐,2006,0,6469328,4667860,10685621,573301,6941,1705654,277691,4.31,311818,4986,7007246
3018,同開,2010,2.07,767800,399304,886292,70508,0,17656,152683,1.02,0,848,410624
3018,同開,2009,0,499048,121727,569758,20294,69,20438,2126,1,0,860,133470
3018,同開,2008,0,545748,244480,667684,21281,425,78305,75780,1.28,0,175,257768
3018,同開,2007,0,442136,264876,671828,160820,1410,41761,158,-0.56,0,1055,318698
3018,同開,2006,0,669165,701999,903092,163894,0,39331,-58500,0.95,0,420,815835
3019,亞光,2010,0,2661614,1371674,15076641,1705589,14343,91294,-207531,0.63,319877,16762,2138359
3019,亞光,2009,0,2748717,1698521,17140067,1860978,20078,86908,837376,0.74,337862,18451,2945241
3019,亞光,2008,2.31,2168316,2081085,17629977,2258912,31782,38839,-1824310,0.95,452134,9891,2538859
3019,亞光,2007,4.34,4015105,3321689,18725648,2468377,54509,70218,-525238,1,327220,23011,3479628
3019,亞光,2006,3.13,4601340,1255067,17712788,2510802,79049,99961,-698926,1,273715,34535,3433899
3021,鴻名,2010,0,320219,195926,1180413,184758,3548,39656,-99242,1.05,0,1293,304746
3021,鴻名,2009,0,453182,139908,1116868,190741,3548,52913,-69786,.,0,1515,257600
3021,鴻名,2008,0,577990,258543,899164,183463,3548,53857,92231,.,0,523,287356
3021,鴻名,2007,0,419665,224716,859156,159100,3177,53961,19260,.,0,463,532221
3021,鴻名,2006,0,146296,156469,558893,123699,0,52587,-66367,.,74,284,511478
3022,威強電,2010,7.17,1836412,500636,5742999,511232,16561,250395,-233567,1.05,330422,9496,691542
